Compound_time_dose,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,meanID,ref_meanID,Probe_ID,GeneSymbol,ProbeNr,Entrez_ID,CELL_ID,TREATMENT,COMPOUND,COMPOUND_ABBR,DOSE,DOSE_LEVEL,TIME,TIMEPOINT,GeneSymbol_new,Entrez_ID_new
CSP_48hr_50uM,12.675139999999999,-1.559743,0.4062275,-3.839581,0.000123245,0.000368993,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABCD4,ABCD4,,5826.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABCD4,5826.0
CSP_48hr_50uM,11.43316,2.0122419999999996,0.29007890000000003,6.93688,4.01e-12,3.59e-11,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABCE1,ABCE1,,6059.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABCE1,6059.0
CSP_48hr_50uM,41.76883,0.7379281999999999,0.2010335,3.6706730000000003,0.00024191299999999999,0.0006816289999999999,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABCF1,ABCF1,,23.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABCF1,23.0
CSP_48hr_50uM,332.9345,1.340268,0.2534219,5.288683,1.232e-07,6.127219999999999e-07,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABCF2,ABCF2,,10061.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABCF2,10061.0
CSP_48hr_50uM,3.368981,0.7362502,0.43816170000000004,1.680316,0.09289579,0.1406845,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABCF3,ABCF3,,55324.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABCF3,55324.0
CSP_48hr_50uM,6.965103,-0.1773499,0.3572363,-0.49645,0.619577,0.6927239000000001,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABCG2,ABCG2,,9429.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABCG2,9429.0
CSP_48hr_50uM,3.687412,0.2514081,0.39112470000000005,0.6427824000000001,0.5203653,0.601187,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABHD10,ABHD10,,55347.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABHD10,55347.0
CSP_48hr_50uM,34.056979999999996,0.04143033,0.30295029999999995,0.13675620000000002,0.8912235000000001,0.9221388,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABHD11,ABHD11,,83451.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABHD11,83451.0
CSP_48hr_50uM,66.9842,-0.7044995,0.1745452,-4.0362,5.43238e-05,0.000175613,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABHD12,ABHD12,,26090.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABHD12,26090.0
CSP_48hr_50uM,10.591660000000001,1.5482559999999999,0.26220970000000005,5.904647,3.5340199999999998e-09,2.1856499999999998e-08,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABHD13,ABHD13,,84945.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABHD13,84945.0
CSP_48hr_50uM,5.854286,-0.7479935999999999,0.3873219,-1.9311939999999999,0.05345908,0.08703199,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABHD14A,ABHD14A,,25864.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABHD14A,25864.0
CSP_48hr_50uM,255.0689,-1.760371,0.23642039999999998,-7.445933999999999,9.63e-14,1.06e-12,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABHD14B,ABHD14B,,84836.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABHD14B,84836.0
CSP_48hr_50uM,1.1072540000000002,1.550711,0.7585394,2.044338,0.04092019,0.06885852,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABHD15,ABHD15,,116236.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABHD15,116236.0
CSP_48hr_50uM,30.05217,-1.860179,0.3432923,-5.418645,6.00523e-08,3.12706e-07,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABHD16A,ABHD16A,,7920.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABHD16A,7920.0
CSP_48hr_50uM,47.15002,-1.412887,0.33251490000000006,-4.249094,2.14637e-05,7.42417e-05,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABHD17A,ABHD17A,,81926.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABHD17A,81926.0
CSP_48hr_50uM,25.103360000000002,1.30261,0.230593,5.648959,1.61422e-08,9.12031e-08,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABHD17B,ABHD17B,,51104.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABHD17B,51104.0
CSP_48hr_50uM,13.363339999999999,-0.8332196,0.3560638,-2.3400849999999997,0.01927935,0.03549335,EUT046_RPTEC.TERT1_CSP_48hr_50uM,EUT046_RPTEC.TERT1_DMEM_48hr_0uM,ABHD17C,ABHD17C,,58489.0,RPTEC-TERT1,CSP,CISPLATIN,CSP,50.0,9,48,48hr,ABHD17C,58489.0
